index,q1,q2,q3,q4,response
1035,누가 야마모토 노부오를 죽인거야?,야마모토 노부오를 죽인 사람이 누구야?,야마모토 노부오를 살해한 범인이 누구야?,야마모토 노부오가 누구한테 살해당한거야?,이웃집 주민이였던 스즈키 유미가 복수하기 위해 죽인거였지
1036,스즈키 유미에 대해 알려줘,스즈키 유미가 누구야?,스즈키 유미는 어떤 사람이야?,스즈키 유미는 뭐하는 분이야?,야마모토 노부오를 죽인 범인인데 노부오가 과거에 일으킨 음주운전 사고 피해자의 아내였지 그래서 복수심에 죽인거야
1037,스즈키 유미가 왜 야마모토 노부오를 죽인거야?,스즈키 유미가 야마모토 노부오를 살해한 이유가 뭐야?,스즈키 유미의 범행 동기가 뭐야?,야마모토 노부오를 죽인 이유가 뭐야?,야마모토 노부오가 과거에 음주운전 사고로 스즈키 유미의 남편을 죽였고 그에따라 복수한거야
1038,스즈키 유미가 어째서 범행을 저지른거야?,스즈키 유미는 왜 범죄를 저지른거야?,야마모토 노부오를 스즈키 유미가 왜 죽인거야?,야마모토 노부오를 스즈키 유미가 어째서 죽인거야?,야마모토 노부오가 과거에 음주운전 사고로 스즈키 유미의 남편을 죽였고 그에따라 복수한거야
1039,우시고메 츠구오가 누구야?,우시고메 츠구오에 대해 알려줘,우시고메 츠구오는 어떤 사람이야?,우시고메 츠구오는 뭐하는 분이야?,대학생인데 동아리원들과 같이 모시조개를 잡으러 왔다가 만나게 되었어 그때 표정이 무척 안좋았었는데 이후 차 안에서 죽은채로 발견되었지
1040,누가 우시고메 츠구오를 죽인거야?,우시고메 츠구오를 죽인 사람이 누구야?,우시고메 츠구오를 살해한 범인이 누구야?,우시고메 츠구오를 죽인 범인에 대해 알려줘,같이 놀러온 동아리원 중 하나인 히사즈 쇼코였어
1041,미츠세 타카시가 누구야?,미츠세 타카시에 대해 알려줘,미츠세 타카시는 어떤 사람이야?,미츠세 타카시는 뭐하는 분이야?,대학생인데 동아리원들과 같이 모시조개를 잡으러 놀러왔다가 만나게된 사람이야
1042,야시마 미츠에가 누구야?,야시마 미츠에에 대해서 알려줘,야시마 미츠에는 어떤 사람이야?,야시마 미츠에는 뭐하는 분이야?,대학생인데 동아리원들과 같이 모시조개를 잡으러 놀러왔다가 만나게된 사람이야
1043,히사즈 쇼코는 누구야?,히사즈 쇼코에 대해 알려줘,히사즈 쇼코는 어떤 사람이야?,히사즈 쇼코는 뭐하는 분이야?,대학생인데 동아리원들과 같이 모시조개를 잡으러 놀러왔다가 만나게된 사람이야 알고보니 우시고메 츠구오를 죽인 범인이더라고
1044,히사즈 쇼코는 왜 우시고메 츠구오를 죽인거야?,히사즈 쇼코의 범행 동기가 뭐야?,히사즈 쇼코가 살인을 저지른 이유가 뭐야?,우시고메 츠구오를 히사즈 쇼코가 어째서 죽인거야?,이 당시 있었던 뺑소니 사고의 범인이 우시고메 츠구오였어 음주운전 으로 인한 사고였는데 동아리 원들과 같이 타고 있었지 츠구오는 자수하려 했으나 자신의 방조죄가 드러날까봐 츠구오를 죽이게 된거야
1045,히사즈 쇼코가 왜 살인을 저지른거야?,우시고메 츠구오를 히사즈 쇼코가 살해한 이유가 뭐야?,어째서 히사즈 쇼코가 우시고메 츠구오를 죽인거야?,히사즈 쇼코가 왜 범죄를 저지른거야?,이 당시 있었던 뺑소니 사고의 범인이 우시고메 츠구오였어 음주운전 으로 인한 사고였는데 동아리 원들과 같이 타고 있었지 츠구오는 자수하려 했으나 자신의 방조죄가 드러날까봐 츠구오를 죽이게 된거야
1046,우시고메 츠구오의 동아리에 대해 알려줘,미츠세 타카시의 동아리에 대해 알려줘,야시마 미츠에의 동아리에 대해 알려줘,히사즈 쇼코의 동아리에 대해 알려줘,"우시고메 츠구오, 미츠세 타카시, 야시마 미츠에, 히사즈 쇼코 이렇게 4명이서 조개잡이 동아리야"
1047,마키노 준이 누구야?,마키노 준에 대해 알려줘,마키노 준은 어떤 사람이야?,마키노 준은 뭐하는 분이야?,뮤지션인데 스즈키가 별장에 놀러갔다가 우연히 만난 사람이야
1048,텐도우 토오루가 누구야?,텐도우 토오루에 대해 알려줘,텐도우 토오루는 어떤 사람이야?,텐도우 토오루는 뭐하는 분이야?,뮤지션인데 스즈키가 별장에 놀러갔다가 우연히 만난 사람이야
1049,호나미 린코가 누구야?,호나미 린코에 대해서 알려줘,호나미 린코는 어떤 사람이야?,호나미 린코는 뭐하는 분이야?,뮤지션인데 스즈키가 별장에 놀러갔다가 우연히 만난 사람이야 그리고 별장에서 교살당해 주검으로 발견되었지
1050,호나미 린코가 왜 죽었어?,호나미 린코를 죽인 사람이 누구야?,누가 호나미 린코를 죽인거야?,호나미 린코를 살해한 범인이 누구야?,호나미 린코랑 같이 놀러왔던 쿠라모토 요우지야
1051,쿠라모토 요우지에 대해 알려줘,쿠라모토 요우지는 어떤 사람이야?,쿠라모토 요우지가 누구야?,쿠라모토 요우지는 뭐하는 분이야?,뮤지션인데 스즈키가 별장에 놀러갔다가 우연히 만난 사람이야
1052,쿠라모토 요우지가 왜 호나미 린코를 죽인거야?,쿠라모토 요우지가 호나미 린코를 살해한 이유가 뭐야?,쿠라모토 요우지의 범행동기가 뭐야?,쿠라모토 요우지는 어째서 범죄를 저지른거야?,호나미 린코가 쿠라모토 요우지 본인과 자신이 좋아하던 키타리스트의 실력에 대해 비하해서 앙심을 품고 죽인거야
1053,이토 타마노스케가 누구야?,이토 타마노스케에 대해 알려줘,이토 타마노스케는 어떤 사람이야?,이토 타마노스케는 뭐하는 분이야?,극단의 단장 겸 배우인데 내가 구경하러 갔을때 극단에서 살인사건도 일어나고 죽을뻔하기도 하는 등 사건이 있었지
1054,이토 타마노스케의 극단에 대해 알려줘,이토 타마노스케 극단은 어때?,이토 타마노스케 극단에는 누가있어?,이토 타마노스케 극단에는 어떤 사람들이 있어?,"단장 겸 배우인 이토 타마노스케, 아역 배우인 이토 메구미, 여배우인 카루베 로미, 남배우인 카와타케 오토야, 여배우인 카타오카 렌게, 장치 담당자인 나베시마 카츠오, 스폰서인 라우스 타츠히코 등 여러 사람들이 있는 괜찮은 극단이였지"
1055,이토 타마노스케 극단에 무슨일이 있던거야?,이토 타마노스케 극단에서 무슨 사건이 벌어진거야?,이토 타마노스케 극단에서 범죄가 일어났어?,이토 타마노스케 극단에서 사람이 죽은거야?,여배우였던 나베시마 카츠오가 죽고 여러 인물들이 다치거나 다칠뻔했지
1056,이토 타마노스케 극단에서 살인사건이 일어난거야?,이토 타마노스케 극단에서 누가 죽은거야?,이토 타마노스케 극단에 갔을때 어떤 일이 일어난거야?,이토 타마노스케 극단이 어떻게 된거야?,여배우였던 나베시마 카츠오가 죽고 여러 인물들이 다치거나 다칠뻔했지
1057,이토 메구미는 누구야?,이토 메구미에 대해 알려줘,이토 메구미는 어떤 사람이야?,이토 메구미는 뭐하는 분이야?,이토 타마노스케의 늦둥이 동생이자 극단의 아역배우인데 내 입으로 말하기는 좀 그렇지만 날 좋아하는거 같더라고
1058,이토 타마노스케가 죽을뻔 했어?,이토 타마노스케가 다친거야?,이토 타마노스케에게 무슨 일이 있던거야?,이토 타마노스케가 어떻게 된거야?,범인에게 돌멩이로 뒤통수를 맞았지만 간신히 살아남았고 범인으로 몰리기도 했지
1059,누가 이토 타마노스케를 때린거야?,누가 이토 타마노스케를 돌멩이로 튀통수를 떄린거야?,이토 타마노스케를 죽일뻔한 사람이 누구야?,이토 타마노스케를 누가 살해하려 한거야?,범인은 카루베 로미였는데 복수하기 위해서 이토 타마노스케를 죽이려 했던거야
1060,카와타케 오토야가 누구야?,카와타케 오토야에 대해 알려줘,카와타케 오토야는 어떤 사람이야?,카와타케 오토야는 뭐하는 분이야?,이토 타마노스케 극단의 남배우인데 성격이 상당히 마이페이스인 사람이야
1061,나베시마 카츠오가 누구야?,나베시마 카츠오에 대해 알려줘,나베시마 카츠오는 어떤 사람이야?,나베시마 카츠오는 뭐하는 분이야?,이토 타마노스케 극단의 장치 담당자인데 좀 신경질적인 사람이더라고 그러다가 살해된채 발견되었지
1062,누가 나베시마 카츠오를 죽인거야?,나베시마 카츠오를 살해한 사람이 누구야?,나베시마 카츠오를 죽인 범인이 누구야?,나베시마 카츠오를 살해한 범인이 누구야?,범인은 카루베 로미였어
1063,나베시마 카츠오를 왜 죽인거야?,카루베 로미는 왜 나베시마 카츠오를 살해한거야?,나베시마 카츠오를 죽인 이유가 뭐야?,나베시마 카츠오를 카루베 로미가 살해한 동기가 뭐야?,카루배 로미는 복수하기 위해서 캠코더 카메라를 들고 도방치다가 나베시마 카츠오에게 들켰는데 로미를 은근히 협박하다가 로미가 이왕 이렇게 된거 완벽하게 하자는 생각으로 카츠오를 죽여서 입막음하고 타마노스케와 타츠히코에게 덮어씌우려 했지
1064,카타오카 렌게가 누구야?,카타오카 렌게에 대해 알려줘,카타오카 렌게는 어떤 사람이야?,카타오카 렌게는 뭐하는 분이야?,이토 타마노스케 극단의 여배우인데 보니까 사실상 타마노스케의 연인이더라고 범인한테 납치당하는 고초도 겪었어
1065,누가 카타오카 렌게를 납치한거야?,카타오카 렌게를 납치한 범인이 누구야?,카타오카 렌게를 납치한 사람이 누구야?,카타오카 렌게가 납치된거야?,범인은 카루베 로미였어
1066,라우스 타츠히코가 누구야?,라우스 타츠히코에 대해 알려줘,라우스 타츠히코는 어떤 사람이야?,라우스 타츠히코는 뭐하는 분이야?,이토 타마노스케 극단의 스폰서인데 카타오카 렌게의 소꿉친구더라고 범인한테 돌멩이로 뒤통수를 맞았지만 살아남았어
1067,누가 라우스 타츠히코를 때린거야?,누가 라우스 타츠히코를 돌멩이로 튀통수를 떄린거야?,라우스 타츠히코를 죽일뻔한 사람이 누구야?,라우스 타츠히코를 누가 살해하려 한거야?,범인은 카루베 로미였어
1068,카루베 로미가 누구야?,카루베 로미에 대해 알려줘,카루베 로미는 어떤 사람이야?,카루베 로미는 뭐하는 분이야?,이토 타마노스케 극단의 여배우인데 거기서 발생한 사건의 진범이였어 용의선상에서 벗어나려고 스스로를 다칠뻔하게해 알리바이도 만들려 했었지
1069,카루베 로미가 범죄를 저지른 이유갸 뭐야?,카루베 로미의 범행 동기가 뭐야?,카루베 로미는 왜 그런거야?,카루베 로미가 그런 짓을 한 이유가 뭐야?,카루베 로미의 아버지는 라우스 타츠히코 아버지의 옛 사업 동료였는데 타츠히코의 아버지에게 사업을 뺏기고 병에 걸려 죽고 어머니도 뒤따라 자살했지 그에따라 복수를 계획했고 계획을 카츠오에게 들키자 카츠오를 죽이고 타마노스케와 타츠히코에게 뒤집어씨우고 렌게를 납치한거지
1070,카루베 로미가 이토 타마노스케를 죽이려한 이유가 뭐야?,카루베 로미가 이토 타마노스케를 돌멩이로 때린 이유가 뭐야?,카루베 로미가 이토 타마노스케한테 왜 그런거야?,이토 타마노스케를 왜 카루베 로미가 살해하려 한거야?,카루베 로미의 아버지는 라우스 타츠히코 아버지의 옛 사업 동료였는데 타츠히코의 아버지에게 사업을 뺏기고 병에 걸려 죽고 어머니도 뒤따라 자살했지 그에따라 복수를 계획했고 계획을 카츠오에게 들키자 카츠오를 죽이고 타마노스케와 타츠히코에게 뒤집어씨우고 렌게를 납치한거지
1071,카루베 로미가 카타오카 렌게를 납치한 이유가 뭐야?,카루베 로미가 카타오카 렌게한테 왜 그런거야?,카타오카 렌게를 어째서 카루베 로미가 납치한거야?,카타오카 렌게를 납치한 이유가 뭐야?,카루베 로미의 아버지는 라우스 타츠히코 아버지의 옛 사업 동료였는데 타츠히코의 아버지에게 사업을 뺏기고 병에 걸려 죽고 어머니도 뒤따라 자살했지 그에따라 복수를 계획했고 계획을 카츠오에게 들키자 카츠오를 죽이고 타마노스케와 타츠히코에게 뒤집어씨우고 렌게를 납치한거지
1072,카루베 로미가 라우스 타츠히코를 죽이려한 이유가 뭐야?,카루베 로미가 라우스 타츠히코를 돌멩이로 때린 이유가 뭐야?,카루베 로미가 라우스 타츠히코한테 왜 그런거야?,라우스 타츠히코를 왜 카루베 로미가 살해하려 한거야?,카루베 로미의 아버지는 라우스 타츠히코 아버지의 옛 사업 동료였는데 타츠히코의 아버지에게 사업을 뺏기고 병에 걸려 죽고 어머니도 뒤따라 자살했지 그에따라 복수를 계획했고 계획을 카츠오에게 들키자 카츠오를 죽이고 타마노스케와 타츠히코에게 뒤집어씨우고 렌게를 납치한거지
1073,카루베 로미는 어떻게 스스로를 다치게 하려한거야?,카루베 로미의 알리바이는 뭐였어?,카루베 로미는 어떻게 용의선상에서 벗어나려 한거야?,카루베 로미는 어떻게 사람들을 속이려 했던거야?,떨어지는 등에 머리를 맞을 뻔하게 조작해서 본인도 피해자인척 행세하려 한거였지
1074,하라모토 코헤이가 누구야?,하라모토 코헤이에 대해 알려줘,하라모토 코헤이는 어떤 사람이야?,하라모토 코헤이는 뭐하는 분이야?,소설가 만다 토시히사의 문하생인데 도자기에 머리를 강타당해 사망한 채로 발견되었어
1075,누가 하라모토 코헤이를 죽인거야?,하라모토 코헤이를 죽인 범인이 누구야?,하라모토 코헤이를 죽인 사람에 대해 알려줘,하라모토 코헤이를 누가 살해한거야?,만다 토시히사였어
1076,만다 토시히사에 대해 알려줘,만다 토시히사는 누구야?,만다 토시히사는 어떤 사람이야?,만다 토시히사는 뭐하는 분이야?,소설가인데 자신의 문하생인 하라모토 코헤이를 죽였지
1077,하라모토 코헤이를 왜 죽인거야?,하라모토 코헤이를 살해한 이유가 뭐야?,만다 토시히사의 범행동기가 뭐야?,만다 토시히사는 어째서 하라모토 코헤이를 살해한거야?,만다 토시히사는 아내와 사별한 후 소설을 쓸 의욕을 잃고 문하생인 하라모토 코헤이가 토시히사인척하고 소설을 쓰고있었는데 코헤이가 토시히사를 무시하는 발언을 해서 살해한거야
1078,오우누에 아사카가 누구야?,오우누에 아사카에 대해 알려줘,오우누에 아사카는 어떤 사람이야?,오우누에 아사카는 뭐하는 분이야?,스노보드 타러 스키 리조트에 갔다가 만난 미대 조소과의 여학생인데 다리를 다쳐서 한쪽 다리를 절더라고 보니깐 키야마 탄지와 다정한 관계인거 같더라고
1079,키야마 탄지가 누구야?,키야마 탄지에 대해 알려줘,키야마 탄지는 어떤 사람이야?,키야마 탄지는 뭐하는 분이야?,스노보드 타러 스키 리조트에 갔다가 만난 미대 조소과 남학생인데 오우누에 아사카와 꽤나 다정해 보이더라고
1080,코쿠라 사쿠코가 누구야?,코쿠라 사쿠코에 대해 알려줘,코쿠라 사쿠코는 어떤 사람이야?,코쿠라 사쿠코는 뭐하는 분이야?,스노보드 타러 스키 리조트에 갔다가 만난 미대 조소과 여학생인데 상당히 신경질적이고 특히 앞에서 대놓고 아사카가 장애인이라고 비하발언을 할정도로 성격에 문제가 있는데 이후에 호수에 익사당한 체 발견됬어
1081,누가 코쿠라 사쿠코를 죽인거야?,코쿠라 사쿠코를 죽인 사람이 누구야?,코쿠라 사쿠코를 살해한 범인은 누구야?,코쿠라 사쿠코가 누구한테 죽은거야?,이타바시 카즈야가 범인이였어
1082,코쿠라 사쿠코는 왜 오우누에 아사카에 대해 비하발언을 하는거야?,코쿠라 사쿠코는 왜 그렇게 말하는거야?,코쿠라 사쿠코는 왜 그러는거야?,코쿠라 사쿠코는 왜 오우누에 아사카를 싫어하는거야?,사쿠코는 키야마 탄지를 좋아했는데 오우누에 아사카와 키야마 탄지가 다정한 모습을 보이자 질투심에 그러한 행동을 한거야
1083,이타바시 카즈야가 누구야?,이타바시 카즈야에 대해 알려줘,이타바시 카즈야는 어떤 사람이야?,이타바시 카즈야는 뭐하는 분이야?,스노보드 타러 스키 리조트에 갔다가 만난 미대 조소과 남학생인데 코쿠라 사쿠코를 죽인 범인이였지
1084,코쿠라 사쿠코를 왜 죽인거야?,코쿠라 사쿠코를 살해한 이유가 뭐야?,이타바시 카즈야는 코쿠라 사쿠코를 왜 죽인거야?,이타바시 카즈야는 코쿠라 사쿠코를 살해한 이유가 뭐야?,이타바시 카즈야는 오우누에 아사카를 좋아하고 있었는데 코쿠라 사쿠코가 술취해서 카즈야에게 자신이 아사카의 다리를 다치게 해서 장애인으로 만들었다는 얘기를 했고 사랑하는 사람의 원수룰 갚기 위해서 그런거야
1085,이타바시 카즈야의 범행동기가 뭐야?,이타바시 카즈야는 왜 살인을 저지른거야?,이타바시 카즈야는 어째서 범죄를 저지른거야?,이타바시 카즈야는 왜 그런거야?,이타바시 카즈야는 오우누에 아사카를 좋아하고 있었는데 코쿠라 사쿠코가 술취해서 카즈야에게 자신이 아사카의 다리를 다치게 해서 장애인으로 만들었다는 얘기를 했고 사랑하는 사람의 원수룰 갚기 위해서 그런거야
1086,스기야마 지로가 누구야?,스기야마 지로에 대해 알려줘,스기야마 지로는 어떤 사람이야?,스기야마 지로는 뭐하는 분이야?,온천 여행가려고 렌트카를 렌트해준 렌트카 직원이야
1087,마츠미야 이치로가 누구야?,마츠미야 이치로에 대해 알려줘,마츠미야 이치로는 어떤 사람이야?,마츠미야 이치로는 뭐하는 분이야?,과거에 변심한 애인을 살해한 살인범인데 모리 코고로 아저씨와 메구레 쥬조 아저씨가 쫒던 과정에서 이치로가 자살을 했어
1088,마츠미야 지로가 누구야?,마츠미야 지로에 대해 알려줘,마츠미야 지로는 어떤 사람이야?,마츠미야 지로는 뭐하는 분이야?,마츠미야 이치로의 남동생으로 유학간 사이 이치로가 사망했지 모리 코고로 아저씨가 형을 너무 추궁해 형이 사망했다고 오해해서 복수극을 벌였어
1089,마츠미야 지로가 어떤 복수극을 벌인거야?,마츠미야 지로가 무슨 짓을 한거야?,마츠미야 지로가 무슨 복수를 한거야?,마츠미야 지로가 모리 코고로에게 무슨 짓을 한거야?,온천 여행가려고 렌트한 자동차에 정차하면 폭발하는 폭탄을 설치했어 그때 진짜 죽는줄 알았지
1090,마츠미야 지로가 코고로 아저씨에게 복수한거야?,마츠미야 지로가 무슨 범죄를 저지른거야?,마츠미야 지로가 뭘 한거야?,마츠미야 지로가 복수를 했어?,온천 여행가려고 렌트한 자동차에 정차하면 폭발하는 폭탄을 설치했어 그때 진짜 죽는줄 알았지
1091,자동차에 설치된 폭탄을 어떻게 한거야?,폭탄이 설치된 자동차는 어떻게 됐어?,자동차에 설치된 폭탄을 해체한거야?,자동차에 설치된 폭탄이 터진거야?,터널안에서 준비된 대형트럭에 차를 올려놔서 차가 움직이지는 않지만 바퀴만 계속 굴러가도록 한뒤 폭죽을 터뜨려서 폭탄이 터진것처럼 범인을 속이고 탈출했지
1092,타테마츠 신자부로가 누구야?,타테마츠 신자부로에 대해 알려줘,타테마츠 신자부로는 어떤 사람이야?,타테마츠 신자부로는 뭐하는 분이야?,회사원인데 재밌는 비디오 대상에서 세상에서 제일 운 나쁜 남자로 알려져 있어 오코노기 키요타카씨랑 같이 뺑소니 교통사고를 당해서 죽을뻔 하기도 했지
1093,타테마츠 코우가 누구야?,타테마츠 코우에 대해 알려줘,타테마츠 코우는 어떤 사람이야?,타테마츠 코우는 뭐하는 분이야?,타테마츠 신자부로의 조카로 신자부로씨 동영상의 나레이션이야
1094,오코노기 키요타카가 누구야?,오코노기 키요타카에 대해 알려줘,오코노기 키요타카는 어떤 사람이야?,오코니기 키요타카는 뭐하는 분이야?,상당한 자산가인데 최근에 타테마츠 신자부로씨와 같이 뺑소니 교통사고를 당해서 죽을뻔 했지
1095,사카키 카즈마가 누구야?,사카키 카즈마에 대해 알려줘,사카키 카즈마는 어떤 사람이야?,사카키 카즈마는 뭐하는 분이야?,오코노기 키요타카의 조카인데 뻉소니 사고 소식을 듣고 병원으로 달려왔어
1096,이치쿠라 토모미가 누구야?,이치쿠라 토모미에 대해 알려줘,이치쿠라 토모미는 어떤 사람이야?,이치쿠라 토모미는 뭐하는 분이야?,사카키 카즈마의 여자친구인데 타테마츠 신자부로와 오코노기 키요타카의 뺑소니 사건의 범인이였어
1097,타테마츠 신자부로 뺑소니 사건의 범인이 누구야?,누가 타테마츠 신자부로를 죽이려 한거야?,타테마츠 신자부로를 살해하려한 범인이 누구야?,타테마츠 신자부로를 뺑소니한 사람이 누구야?,사카키 카즈마의 여자친구인 이치쿠라 토모미가 뺑소니 사건의 범인이였어
1098,오코노기 키요타카 뺑소니 사건의 범인이 누구야?,누가 오코노기 키요타카를 죽이려 한거야?,오코노기 키요타카를 살해하려한 범인이 누구야?,오코노기 키요타카를 뺑소니한 사람이 누구야?,사카키 카즈마의 여자친구인 이치쿠라 토모미가 뺑소니 사건의 범인이였어
1099,타테마츠 신자부로는 왜 세상에서 제일 운 나쁜 남자야?,타메마츠 신자부로의 비디오에 대해 알려줘,타테마츠 신자부로의 재밌는 비디오 대상에 대해 알려줘,타테마츠 신자부로는 운이 없어?,응 타테마츠 신자부로씨는 정말 지독하게 운이 없더라 길을 가다가 이불이 떨어지는데 그걸 피하려다 발목이 삐고 음식점에 줄을 서면 자기 앞에서 메뉴가 품절되고 그와중에 새똥을 맞고 어떤 의미로 대단하더라
1100,이치쿠라 토모미는 왜 범죄를 저지른거야?,이치쿠라 토모미는 왜 뺑소니 교통사고를 낸거야?,이치쿠라 토모미는 왜 뻉소니를 한거야?,이치쿠라 토모미는 왜 타테마츠 신자부로를 죽이려 한거야?,이치쿠라 토모미는 애초에 돈을 목적으로 사카키 카즈마와 사귄거였어 그러다 친척인 키요타카가 돈이 많다는걸 알고 유산을 목적으로 범죄를 저지른거야 타테마츠 신자부로가 운이 없는걸로 유명하니 같이 있다가 사고가 났다 이런식으로 위장하려 한거지
1101,이치쿠라 토모미는 왜 타테마츠 신자부로를 살해하려 한거야?,이치쿠라 토모미는 어째서 타테마츠 신자부로한테 뺑소니 교통사고를 낸거야?,이치쿠라 토모미는 왜 오코노기 키요타카를 죽이려 한거야?,이치쿠라 토모미의 범행동기가 뭐야?,이치쿠라 토모미는 애초에 돈을 목적으로 사카키 카즈마와 사귄거였어 그러다 친척인 키요타카가 돈이 많다는걸 알고 유산을 목적으로 범죄를 저지른거야 타테마츠 신자부로가 운이 없는걸로 유명하니 같이 있다가 사고가 났다 이런식으로 위장하려 한거지
1102,이치쿠라 토모미는 왜 오코노기 키요타카를 살해하려 한거야?,이치쿠라 토모미는 어째서 오코노기 키요타카한테 뺑소니 교통사고를 낸거야?,,이치쿠라 토모미는 왜 그런짓을 한거야?,이치쿠라 토모미는 애초에 돈을 목적으로 사카키 카즈마와 사귄거였어 그러다 친척인 키요타카가 돈이 많다는걸 알고 유산을 목적으로 범죄를 저지른거야 타테마츠 신자부로가 운이 없는걸로 유명하니 같이 있다가 사고가 났다 이런식으로 위장하려 한거지
1103,아키모토 야스요가 누구야?,아키모토 야스요에 대해 알려줘,아키모토 야스요는 어떤 사람이야?,아키모토 야스요는 뭐하는 분이야?,매일 야간 근무하고 밤늦게 귀가하는 회사원인데 매일 순경에게 보호를 받으며 귀가한다고 하더라고 그래서 그 순경에게 보답하고자 파출소를 방문했는데 그때 나랑 마주쳐서 얘기를 해보니 그 순경이 가짜라는걸 알게되서 내가 조사를 했어
1104,야키모토 야스요는 왜 매일 순경에게 보호를 받는거야?,야키모토 야스요는 어째서 매일 경찰에게 보호받는거야?,야키모토 야스요와 같이 귀가하는 순경은 누구야?,야키모토 야스요와 같이 귀가하는 순경은 누구야?,오다와라 테츠치가 순경 행세를 하고 야키모토 야스요를 보호하고자 같이 귀가한거였어
1105,야키모토 야스요를 보호하는 순경이 누구야?,야키모토 야스요를 보호하는 경찰이 누구야?,야키모토 야스요를 보호해주는 사람이 누구야?,누가 야키모토 야스요를 보호해주는 거야?,오다와라 테츠치가 순경 행세를 하고 야키모토 야스요를 보호하고자 같이 귀가한거였어
1106,오다와라 테츠치가 누구야?,오다와라 테츠치에 대해서 알려줘,오다와라 테츠치는 어떤 사람이야?,오다와라 테츠치는 뭐하는 분이야?,라면 가게 사장인데 순경 행세를 하고 야키모토 야스요를 보호했는데 신분 사칭을 해서 검거된 사람이야
1107,오다와라 테츠치는 왜 야키모토 야스오를 보호한거야?,오다와라 테츠치는 어째서 야키모토 테츠치와 같이 귀가한거야?,오다와라 테츠치는 왜 순경 행세를 한거야?,오다와라 테츠치가 야키모토 야스요에게 왜 그런거야?,테츠치는 야스요를 남몰래 좋아하고 있었는데 야간근무로 항상 늦게 귀가하는 야스요를 걱정해서 지켜주려했는데 워낙 험악하게 생겨서 순경인척 행세를 해서 다가간거야
1108,오다와라 테츠치는 어떻게 순경인척 할 수 있었던거야?,오다와라 테츠치가 어떻게 순경 행세를 한거야?,오다와라 테츠치가 신분사칭을 어떻게 할 수 있었던 거야?,오다와라 테츠치가 어떻게 야키모토 야스요를 속일 수 있었어?,우연히 드라마 촬영장을 지나가다가 촬영 소품인 경찰제복을 훔쳐서 순경인척 한거였어
1109,오다와라 테츠치는 어떻게 경찰제복을 구한거야?,오다와라 테츠치는 순경복장을 어쩌다가 구한거야?,오다와라 테츠치는 경찰복장을 따로 산거야?,오다와라 테트치는 경찰제복을 어떻게 손에 넣은거야?,우연히 드라마 촬영장을 지나가다가 촬영 소품인 경찰제복을 훔쳐서 순경인척 한거였어
1110,야키모토 야스요를 보호하던 순경이 가짜라는걸 어떻게 알았어?,야키모토 야스요와 같이 귀가하는 경찰이 가짜라는걸 어떻게 안거야?,어째서 야키모토 야스요를 보호하는 순경이 가짜인거야?,야키모토 야스요를 보호하는 사람이 가짜 순경이라는걸 어떻게 알았어?,야스요는 수염이 많은 경찰제복을 입은 순경을 찾아왔다고 했는데 경찰업무규칙상 제복경찰은 수염을 기를 수 없거든 그래서 가짜라는걸 알았지
1111,오다와라 테츠치는 검거되고 어떻게 됐어?,오다와라 테츠치는 어떤 처벌을 받았어?,오다와라 테츠치에게 내려진 형벌이 뭐야?,오다와라 테츠치는 체포되고 어떻게 되었어?,절도가 초범이고 신분사칭이 불순한 목적이 아닌데다가 과정에 빈집털이범을 검거한 공로로 석방됐어
1112,오다와라 테츠치에게 구형된 형벌은 뭐야?,,,,절도가 초범이고 신분사칭이 불순한 목적이 아닌데다가 과정에 빈집털이범을 검거한 공로로 석방됐어
1113,어떻게 오다와라 테츠치를 체포한거야?,오다와라 테츠치를 어떻게 잡은거야?,오다와라 테츠치가 왜 붙잡힌거야?,오다와라 테츠치는 어쩌다가 걸린거야?,이전에 테츠치가 형사기소 되었을때 무죄를 믿어준 야스요에 보답하기 위해 야스요가 걱정하던 빈집털이 진법을 직접 잡으려 했지 그러다가 결국 빈집털이범이 누구인지 알아챘고 범인을 체포하는 과정에 같이 체포된거야
1114,오다와라 테츠치가 빈집털이범을 잡은거야?,오다와라 테츠치가 어떤 공로를 세운거야?,오다와라 테츠치는 어째서 석방된거야?,오다와라 테츠치는 왜 풀려난거야?,야스요를 위해서 야스요가 걱정하던 빈집털이 진법을 직접 잡으러 다녔고 결국 빈집털이범이 누군지 알아채고 체포하는데 기여를 했어 그래서 경고만 받고 석방되었지
1115,소메이 쇼고가 누구야?,소메이 쇼고에 대해 알려줘,소메이 쇼고는 어떤 사람이야?,소메이 쇼고는 뭐하는 분이야?,소규모 외주 제작사의 사장으로 부하직원 쿠즈미 마이코와 고백은 하지않았지만 사실상 연인관계였던 사람이야 연인의 범죄를 대신 뒤집어쓰려 했었던 사람이야
1116,쿠즈미 마이코가 누구야?,쿠즈미 마이코에 대해 알려줘,쿠즈미 마이코는 어떤 사람이야?,쿠즈미 마이코는 뭐하는 분이야?,쇼메이 쇼고가 운영하는 외주 제작사의 직원으로 소메이 쇼고와는 고백은 하지 않았지만 사실상 연인관계인 사람인데 나카메 라이사쿠의 협박에 못이겨 라이사쿠를 살해하고 스스로 목숨을 끊은 사람이야
